<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ALGN,D,23/01/23,00:00:00,248.39,253.68,246.165,251.46,21522
ALGN,D,24/01/23,00:00:00,250.83,257.58,250.83,252.63,12553
ALGN,D,25/01/23,00:00:00,246.93,252.44,246.45,252.16,17752
ALGN,D,26/01/23,00:00:00,256.82,263,256.44,263,20804
ALGN,D,27/01/23,00:00:00,262,269.29,259.925,268.94,23699
ALGN,D,30/01/23,00:00:00,264.51,267.9,262.96,265.72,24431
ALGN,D,31/01/23,00:00:00,266.45,269.37,265.31,269.18,8483
ALGN,D,01/02/23,00:00:00,272.86,283.88,269.2,282.02,22699
ALGN,D,02/02/23,00:00:00,335.2,367.69,333.68,359.92,92382
ALGN,D,03/02/23,00:00:00,350.73,352.43,341.28,343.09,34733
ALGN,D,06/02/23,00:00:00,347.99,364.31,342.34,342.65,29908
ALGN,D,07/02/23,00:00:00,341.83,346.24,333.42,345.26,30121
ALGN,D,08/02/23,00:00:00,341.25,342.39,333.86,334.995,11288
ALGN,D,09/02/23,00:00:00,336.49,337.47,320.58,320.83,16693
ALGN,D,10/02/23,00:00:00,321.42,322.23,310.52,315.96,13451
ALGN,D,13/02/23,00:00:00,316.99,325.34,316.99,325.34,13811
ALGN,D,14/02/23,00:00:00,322.2,333.73,322.2,331.61,9393
ALGN,D,15/02/23,00:00:00,330.65,338.82,328.87,338.35,9940
ALGN,D,16/02/23,00:00:00,330.68,335.5,323.79,326.28,11819
ALGN,D,17/02/23,00:00:00,320.17,320.19,313.07,316.79,15948
ALGN,D,21/02/23,00:00:00,313.395,313.395,303.78,303.84,17360
ALGN,D,22/02/23,00:00:00,301.97,307.01,300.78,302.83,15555
ALGN,D,23/02/23,00:00:00,305.04,306.51,298.49,305.59,14354
ALGN,D,24/02/23,00:00:00,300.86,306.27,298.95,306.27,7423
ALGN,D,27/02/23,00:00:00,309.2,309.86,303.55,304.69,16597
ALGN,D,28/02/23,00:00:00,306.13,312.88,305.44,309.32,12634
ALGN,D,01/03/23,00:00:00,307.89,310.17,302.89,308.38,14727
ALGN,D,02/03/23,00:00:00,305.49,313.46,305.49,313.43,10167
ALGN,D,03/03/23,00:00:00,315.68,335.425,315.68,334.82,34812
ALGN,D,06/03/23,00:00:00,338.86,356.795,335.2,335.55,53163
ALGN,D,07/03/23,00:00:00,334.69,341.43,334.245,334.67,16185
ALGN,D,08/03/23,00:00:00,332.76,333.95,328.45,332.27,7861
ALGN,D,09/03/23,00:00:00,331.85,336.38,321.1,321.71,12937
ALGN,D,10/03/23,00:00:00,318.63,319.83,307.24,312.71,19649
ALGN,D,13/03/23,00:00:00,308.85,322.03,307.67,315.625,11587
ALGN,D,14/03/23,00:00:00,323.81,325.81,316.79,320.91,14035
ALGN,D,15/03/23,00:00:00,314.065,318.59,307.89,318.59,19988
ALGN,D,16/03/23,00:00:00,316.8,327.77,314.78,326.71,17018
ALGN,D,17/03/23,00:00:00,323.63,326.2,318.08,320.75,29743
ALGN,D,20/03/23,00:00:00,318.61,321.41,314.72,316.25,12626
ALGN,D,21/03/23,00:00:00,319.5,330.51,319.5,327.18,12003
ALGN,D,22/03/23,00:00:00,324.39,326.08,312.18,312.18,24103
ALGN,D,23/03/23,00:00:00,314.34,319.305,307.59,311.54,23160
ALGN,D,24/03/23,00:00:00,305.92,307.78,301,306.43,15874
ALGN,D,27/03/23,00:00:00,309.64,311.72,302,305.75,11715
ALGN,D,28/03/23,00:00:00,305.61,309.3,304.65,305.57,10200
ALGN,D,29/03/23,00:00:00,308.73,309.6,303.97,306.16,5802
ALGN,D,30/03/23,00:00:00,311.5,314.55,309.87,312.23,9973
ALGN,D,31/03/23,00:00:00,316.04,335,316.04,334.2,30948
ALGN,D,03/04/23,00:00:00,334.19,334.2,324.83,327.41,7288
ALGN,D,04/04/23,00:00:00,329.21,332.75,325.955,326.07,3744
ALGN,D,05/04/23,00:00:00,322.34,322.34,314.31,317.19,8993
ALGN,D,06/04/23,00:00:00,314.51,324.25,314.04,322.91,14634
ALGN,D,10/04/23,00:00:00,317.5,330.01,317.31,329.805,7163
ALGN,D,11/04/23,00:00:00,335.87,341.92,334.5,338.51,14753
ALGN,D,12/04/23,00:00:00,340,340.74,331.73,331.73,3769
ALGN,D,13/04/23,00:00:00,336.44,341.57,335,341.57,11794
ALGN,D,14/04/23,00:00:00,339.92,345.74,337.76,342.15,8146
ALGN,D,17/04/23,00:00:00,342.63,347.9,342.63,347.76,8498
ALGN,D,18/04/23,00:00:00,353.49,355.33,346.09,348.27,10848
ALGN,D,19/04/23,00:00:00,347.21,357.85,347.21,356.3,7947
ALGN,D,20/04/23,00:00:00,351.59,357.54,351.59,352.27,4496
ALGN,D,21/04/23,00:00:00,354.4,355.87,351.83,355.24,11161
ALGN,D,24/04/23,00:00:00,353.91,363.27,353.63,363.18,17550
ALGN,D,25/04/23,00:00:00,360.13,361.53,351.41,351.41,15281
ALGN,D,26/04/23,00:00:00,353.41,354.97,348.53,354.96,30467
ALGN,D,27/04/23,00:00:00,322.6,325.06,309.45,317.7,51108
ALGN,D,28/04/23,00:00:00,322,326.17,318.26,325.65,22961
ALGN,D,01/05/23,00:00:00,324.27,324.34,315.15,317.41,7656
ALGN,D,02/05/23,00:00:00,318.36,319.17,305.93,307.04,12071
ALGN,D,03/05/23,00:00:00,305.96,310,302.74,303.05,10290
