<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NVDA,D,23/01/23,00:00:00,18.069,19.245,17.819,19.192,15035650
NVDA,D,24/01/23,00:00:00,18.837,19.484,18.825,19.265,9503480
NVDA,D,25/01/23,00:00:00,18.9125,19.365,18.581,19.332,8723800
NVDA,D,26/01/23,00:00:00,19.724,20.162,19.278,19.799,8941270
NVDA,D,27/01/23,00:00:00,19.462,20.627,19.424,20.356,10233070
NVDA,D,30/01/23,00:00:00,19.962,20.128,19.15,19.163,8123230
NVDA,D,31/01/23,00:00:00,19.1695,19.673,18.951,19.539,9644310
NVDA,D,01/02/23,00:00:00,19.71,21.19,19.611,20.947,13705260
NVDA,D,02/02/23,00:00:00,21,21.946,20.968,21.708,12416420
NVDA,D,03/02/23,00:00:00,21,21.741,20.791,21.099,8760600
NVDA,D,06/02/23,00:00:00,20.806,21.568,20.789,21.092,7311530
NVDA,D,07/02/23,00:00:00,21.371,22.258,21.158,22.174,10544930
NVDA,D,08/02/23,00:00:00,22.379,22.872,22.025,22.206,9684240
NVDA,D,09/02/23,00:00:00,22.606,23.018,22.125,22.336,10318790
NVDA,D,10/02/23,00:00:00,21.673,22.077,20.815,21.258,11377500
NVDA,D,13/02/23,00:00:00,21.537,22.047,20.967,21.794,8724290
NVDA,D,14/02/23,00:00:00,21.576,23.045,21.376,22.971,12197850
NVDA,D,15/02/23,00:00:00,22.551,22.85,22.107,22.753,8056010
NVDA,D,16/02/23,00:00:00,22.121,22.55,21.938,21.998,6739340
NVDA,D,17/02/23,00:00:00,21.631,21.728,20.976,21.386,12055260
NVDA,D,21/02/23,00:00:00,20.991,21.472,20.631,20.648,5762920
NVDA,D,22/02/23,00:00:00,20.715,21.104,20.424,20.796,5809680
NVDA,D,23/02/23,00:00:00,23.436,23.881,23.033,23.659,26152840
NVDA,D,24/02/23,00:00:00,23.179,23.464,22.95,23.287,13933970
NVDA,D,27/02/23,00:00:00,23.707,23.87,23.455,23.503,8241050
NVDA,D,28/02/23,00:00:00,23.372,23.818,23.211,23.218,9377940
